Step,AgentID,unique_id,status,work_start_time,work_end_time,geometry,path
0,220580886791699781151045039530538413611,220580886791699781151045039530538413611,home,"[9, 0]","[10, 0]",POINT (517216.28429685364 5037558.314005945),
0,336519533742769432849304405293924147777,336519533742769432849304405293924147777,home,"[9, 0]","[10, 60]",POINT (508013.39951080986 5037603.938263505),
0,51922201301709053244242493191607597930,51922201301709053244242493191607597930,home,"[9, 60]","[11, 0]",POINT (513355.02945591504 5028047.2224366),
0,29923896780290553064315055606933691276,29923896780290553064315055606933691276,home,"[8, 0]","[9, 0]",POINT (518303.3269590702 5039792.520274769),
0,18775656448725915776127955405439909263,18775656448725915776127955405439909263,home,"[8, 60]","[10, 60]",POINT (512813.834171146 5031510.642168554),
0,104578898279886457648282095350126487554,104578898279886457648282095350126487554,home,"[9, 0]","[10, 0]",POINT (519473.89792276075 5036803.240744755),
0,106014054427092392213249520137406357761,106014054427092392213249520137406357761,home,"[8, 60]","[10, 60]",POINT (512484.0185924428 5039836.681707159),
0,222104633986879833732737002132642906486,222104633986879833732737002132642906486,home,"[9, 0]","[10, 60]",POINT (508425.23821458395 5034038.02307611),
0,305042406238555998468167710912726909071,305042406238555998468167710912726909071,home,"[9, 0]","[10, 60]",POINT (519116.5079638787 5034112.747226213),
0,236654050711735030361857876023786952959,236654050711735030361857876023786952959,home,"[9, 60]","[11, 60]",POINT (509316.31593034026 5035418.7039057985),
1,220580886791699781151045039530538413611,220580886791699781151045039530538413611,home,"[9, 0]","[10, 0]",POINT (517216.28429685364 5037558.314005945),
1,336519533742769432849304405293924147777,336519533742769432849304405293924147777,home,"[9, 0]","[10, 60]",POINT (508013.39951080986 5037603.938263505),
1,51922201301709053244242493191607597930,51922201301709053244242493191607597930,home,"[9, 60]","[11, 0]",POINT (513355.02945591504 5028047.2224366),
1,29923896780290553064315055606933691276,29923896780290553064315055606933691276,home,"[8, 0]","[9, 0]",POINT (518303.3269590702 5039792.520274769),
1,18775656448725915776127955405439909263,18775656448725915776127955405439909263,home,"[8, 60]","[10, 60]",POINT (512813.834171146 5031510.642168554),
1,104578898279886457648282095350126487554,104578898279886457648282095350126487554,home,"[9, 0]","[10, 0]",POINT (519473.89792276075 5036803.240744755),
1,106014054427092392213249520137406357761,106014054427092392213249520137406357761,home,"[8, 60]","[10, 60]",POINT (512484.0185924428 5039836.681707159),
1,222104633986879833732737002132642906486,222104633986879833732737002132642906486,home,"[9, 0]","[10, 60]",POINT (508425.23821458395 5034038.02307611),
1,305042406238555998468167710912726909071,305042406238555998468167710912726909071,home,"[9, 0]","[10, 60]",POINT (519116.5079638787 5034112.747226213),
1,236654050711735030361857876023786952959,236654050711735030361857876023786952959,home,"[9, 60]","[11, 60]",POINT (509316.31593034026 5035418.7039057985),
2,220580886791699781151045039530538413611,220580886791699781151045039530538413611,home,"[9, 0]","[10, 0]",POINT (517216.28429685364 5037558.314005945),
2,336519533742769432849304405293924147777,336519533742769432849304405293924147777,home,"[9, 0]","[10, 60]",POINT (508013.39951080986 5037603.938263505),
2,51922201301709053244242493191607597930,51922201301709053244242493191607597930,home,"[9, 60]","[11, 0]",POINT (513355.02945591504 5028047.2224366),
2,29923896780290553064315055606933691276,29923896780290553064315055606933691276,home,"[8, 0]","[9, 0]",POINT (518303.3269590702 5039792.520274769),
2,18775656448725915776127955405439909263,18775656448725915776127955405439909263,home,"[8, 60]","[10, 60]",POINT (512813.834171146 5031510.642168554),
2,104578898279886457648282095350126487554,104578898279886457648282095350126487554,home,"[9, 0]","[10, 0]",POINT (519473.89792276075 5036803.240744755),
2,106014054427092392213249520137406357761,106014054427092392213249520137406357761,home,"[8, 60]","[10, 60]",POINT (512484.0185924428 5039836.681707159),
2,222104633986879833732737002132642906486,222104633986879833732737002132642906486,home,"[9, 0]","[10, 60]",POINT (508425.23821458395 5034038.02307611),
2,305042406238555998468167710912726909071,305042406238555998468167710912726909071,home,"[9, 0]","[10, 60]",POINT (519116.5079638787 5034112.747226213),
2,236654050711735030361857876023786952959,236654050711735030361857876023786952959,home,"[9, 60]","[11, 60]",POINT (509316.31593034026 5035418.7039057985),
3,220580886791699781151045039530538413611,220580886791699781151045039530538413611,home,"[9, 0]","[10, 0]",POINT (517216.28429685364 5037558.314005945),
3,336519533742769432849304405293924147777,336519533742769432849304405293924147777,home,"[9, 0]","[10, 60]",POINT (508013.39951080986 5037603.938263505),
3,51922201301709053244242493191607597930,51922201301709053244242493191607597930,home,"[9, 60]","[11, 0]",POINT (513355.02945591504 5028047.2224366),
3,29923896780290553064315055606933691276,29923896780290553064315055606933691276,home,"[8, 0]","[9, 0]",POINT (518303.3269590702 5039792.520274769),
3,18775656448725915776127955405439909263,18775656448725915776127955405439909263,home,"[8, 60]","[10, 60]",POINT (512813.834171146 5031510.642168554),
3,104578898279886457648282095350126487554,104578898279886457648282095350126487554,home,"[9, 0]","[10, 0]",POINT (519473.89792276075 5036803.240744755),
3,106014054427092392213249520137406357761,106014054427092392213249520137406357761,home,"[8, 60]","[10, 60]",POINT (512484.0185924428 5039836.681707159),
3,222104633986879833732737002132642906486,222104633986879833732737002132642906486,home,"[9, 0]","[10, 60]",POINT (508425.23821458395 5034038.02307611),
3,305042406238555998468167710912726909071,305042406238555998468167710912726909071,home,"[9, 0]","[10, 60]",POINT (519116.5079638787 5034112.747226213),
3,236654050711735030361857876023786952959,236654050711735030361857876023786952959,home,"[9, 60]","[11, 60]",POINT (509316.31593034026 5035418.7039057985),
4,220580886791699781151045039530538413611,220580886791699781151045039530538413611,home,"[9, 0]","[10, 0]",POINT (517216.28429685364 5037558.314005945),
4,336519533742769432849304405293924147777,336519533742769432849304405293924147777,home,"[9, 0]","[10, 60]",POINT (508013.39951080986 5037603.938263505),
4,51922201301709053244242493191607597930,51922201301709053244242493191607597930,home,"[9, 60]","[11, 0]",POINT (513355.02945591504 5028047.2224366),
4,29923896780290553064315055606933691276,29923896780290553064315055606933691276,home,"[8, 0]","[9, 0]",POINT (518303.3269590702 5039792.520274769),
4,18775656448725915776127955405439909263,18775656448725915776127955405439909263,home,"[8, 60]","[10, 60]",POINT (512813.834171146 5031510.642168554),
4,104578898279886457648282095350126487554,104578898279886457648282095350126487554,home,"[9, 0]","[10, 0]",POINT (519473.89792276075 5036803.240744755),
4,106014054427092392213249520137406357761,106014054427092392213249520137406357761,home,"[8, 60]","[10, 60]",POINT (512484.0185924428 5039836.681707159),
4,222104633986879833732737002132642906486,222104633986879833732737002132642906486,home,"[9, 0]","[10, 60]",POINT (508425.23821458395 5034038.02307611),
4,305042406238555998468167710912726909071,305042406238555998468167710912726909071,home,"[9, 0]","[10, 60]",POINT (519116.5079638787 5034112.747226213),
4,236654050711735030361857876023786952959,236654050711735030361857876023786952959,home,"[9, 60]","[11, 60]",POINT (509316.31593034026 5035418.7039057985),
5,220580886791699781151045039530538413611,220580886791699781151045039530538413611,home,"[9, 0]","[10, 0]",POINT (517216.28429685364 5037558.314005945),
5,336519533742769432849304405293924147777,336519533742769432849304405293924147777,home,"[9, 0]","[10, 60]",POINT (508013.39951080986 5037603.938263505),
5,51922201301709053244242493191607597930,51922201301709053244242493191607597930,home,"[9, 60]","[11, 0]",POINT (513355.02945591504 5028047.2224366),
