address,category,subcategory,coords.lat,coords.lon,date,location
"Via Giosu̬ Carducci, 19, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4648747,9.1751624,1/23/2019,lombardia-milano-milano
"Via Mac Mahon, 20155 Milano MI",FURTO,Furto Ciclo/Motociclo,45.490839,9.1621082,2/4/2019,lombardia-milano-milano
Via Monte Napoleone,FURTO,,45.4695731,9.1935704,1/30/2020,lombardia-milano-milano
"Via Antonio Stradivari, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4845054,9.215288,3/21/2019,lombardia-milano-milano
"Via Adda, 3, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4830466,9.1984219,2/3/2019,lombardia-milano-milano
"Vicolo Fiori, 2, Milano, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4720749,9.1857399,1/24/2019,lombardia-milano-milano
"Via Carlo Forlanini, 19, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4718852,9.2320764,1/6/2020,lombardia-milano-milano
"Via Lambro, 12, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4744503,9.21046,1/5/2020,lombardia-milano-milano
"Viale Sabotino, 38, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4514997,9.2027994,2/21/2018,lombardia-milano-milano
"Foro Buonaparte, 74/76, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4686616,9.1823724,3/7/2018,lombardia-milano-milano
"Via Emiliano Gola, 20143 Milano MI",FURTO,Furto Ciclo/Motociclo,45.449542,9.175243,2/4/2019,lombardia-milano-milano
"Via Giuseppe Vigoni, 8, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4541703,9.1889745,2/10/2018,lombardia-milano-milano
"Corso S. Gottardo, 51, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4491989,9.1797312,1/1/2019,lombardia-milano-milano
"Piazza San Marco, 3, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4728413,9.1877412,1/17/2019,lombardia-milano-milano
"Via Don Bosco, 20, 20139 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4412847,9.2156747,1/23/2018,lombardia-milano-milano
"Foro Buonaparte, 46, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4720248,9.1816957,1/23/2019,lombardia-milano-milano
"Via Volvinio, 30, 20141 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4350513,9.1834798,1/23/2018,lombardia-milano-milano
"Via Bartolomeo Eustachi, 13, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4748393,9.2144926,1/24/2019,lombardia-milano-milano
"Via Carlo Farini, 68, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4936907,9.185091,3/23/2019,lombardia-milano-milano
"Via Maurizio Gonzaga, 2, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4619404,9.1894546,2/16/2019,lombardia-milano-milano
"Piazzale Stazione Porta Genova, 3, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.452918,9.17008,1/29/2019,lombardia-milano-milano
"Piazzale Stazione Genova, 4, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4532183,9.169611807,3/24/2018,lombardia-milano-milano
"Piazza Sei Febbraio, 4, 20145 Milano MI",FURTO,Furto Ciclo/Motociclo,45.476759,9.1609052,2/5/2018,lombardia-milano-milano
