address,category,subcategory,coords.lat,coords.lon,date,location
"Via Carlo Farini, 79-81, 20153 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4882338,9.1823595,2/4/2019,lombardia-milano-milano
"Via Piero della Francesca, 60, 20154 Milano MI",FURTO,Furto Ciclo/Motociclo,45.482907,9.1685676,2/21/2018,lombardia-milano-milano
Piazza Caiazzo,FURTO,Furto in Esercizio Commerciale,45.4850351,9.2101197,1/23/2019,lombardia-milano-milano
"Via Costanza Arconati, 16, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4576818,9.2188248,3/23/2019,lombardia-milano-milano
"Via Conservatorio, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4636103,9.2033535,2/3/2019,lombardia-milano-milano
"Via Palmanova, 71, 20132 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4966001,9.2365279,3/23/2019,lombardia-milano-milano
"Via Pietro Colletta, 47, 20135 Milano MI",FURTO,,45.4488898,9.2116289,1/1/2019,lombardia-milano-milano
"Corso Magenta, 66, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.465803,9.172352,2/21/2020,lombardia-milano-milano
"Viale Gorizia, Milano MI",FURTO,Furto Ciclo/Motociclo,45.4522723,9.1778973,2/21/2018,lombardia-milano-milano
Via Muggiano,FURTO,Furto in Abitazione,45.449484,9.0758013,2/27/2019,lombardia-milano-milano
"Piazza Sei Febbraio, 20145 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4753044,9.1598501,1/23/2020,lombardia-milano-milano
"Via Giovanni Celoria, 12, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4767908,9.229661,3/23/2018,lombardia-milano-milano
"Corso Lodi, 93, 20139 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4429163,9.2186202,1/12/2018,lombardia-milano-milano
"Via Piero Strozzi, 11, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4586493,9.143776725,3/6/2019,lombardia-milano-milano
Via Bisceglie,RAPINA,Rapina in Strada,45.4452622,9.1217234,3/11/2018,lombardia-milano-milano
"Piazza Napoli, 25, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4538386,9.1527731,1/13/2018,lombardia-milano-milano
"Via Pola, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4881884,9.1956966,3/1/2019,lombardia-milano-milano
"Via Pellegrino Rossi, 65, 20161 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5152785,9.1726855,3/23/2018,lombardia-milano-milano
"Via Giovanni Spadolini, 20147 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4431023,9.1880683,3/1/2019,lombardia-milano-milano
"Via Privata Giovanni Ventura, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4840377,9.242539,3/21/2019,lombardia-milano-milano
"Via Benvenuto Cellini, 19, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4647494,9.2086827,2/4/2019,lombardia-milano-milano
"Via S. Vigilio, 22, 20142 Milano MI",FURTO,Furto Ciclo/Motociclo,45.429804,9.1601101,3/30/2019,lombardia-milano-milano
"Via Giovanni Pacini, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4806567,9.2244011,3/11/2019,lombardia-milano-milano
"Via Vigilio Inama, 10, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4725751,9.2313173,3/11/2019,lombardia-milano-milano
"Via Nicola Piccinni, 8, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.48309235,9.213861641,1/23/2018,lombardia-milano-milano
"Via Lanzone, 53, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4615769,9.1745376,3/12/2019,lombardia-milano-milano
"Via Alessandro Antonelli, 7, 20139 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4416696,9.22273,3/7/2018,lombardia-milano-milano
"Piazza San Materno, 18, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4887715,9.2279987,1/13/2018,lombardia-milano-milano
Via Giulio Natta,FURTO,,45.4875812,9.1296824,2/16/2018,lombardia-milano-milano
"Via Riccardo Pitteri, 84, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.47810505,9.247246004,1/15/2020,lombardia-milano-milano
Via Cesare Battisti,RAPINA,Rapina in Esercizio Commerciale,45.46304738,9.200009064,2/27/2019,lombardia-milano-milano
Via Torino,FURTO,Furto in Esercizio Commerciale,45.4609569,9.1844624,1/23/2020,lombardia-milano-milano
Via Lampugnano,FURTO,Furto in Esercizio Commerciale,45.4898185,9.1147258,1/15/2020,lombardia-milano-milano
"Via Vespri Siciliani, 35, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4522022,9.1475649,2/16/2019,lombardia-milano-milano
"Largo Agostino Gemelli, 1, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.463024,9.176775,2/16/2018,lombardia-milano-milano
"Piazza Armando Diaz, 6, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4620857,9.1895009,2/16/2019,lombardia-milano-milano
"Corso S. Gottardo, 2, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4517433,9.1799896,3/11/2019,lombardia-milano-milano
"Via Cesare Saldini, 15, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4710008,9.2273951,1/23/2018,lombardia-milano-milano
"Via Ragusa, 20125 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4973858,9.1973433,1/1/2019,lombardia-milano-milano
